periodo_txt,periodo,fecha,alim_indice,general_indice,ajuste_pp,ipc_alim_m,ipc_general_m,brecha_m
nov-13,2013-11,2013-11-01,81.3,85.6,,1.6249999999999876,0.7058823529411784,0.9191176470588092
dic-13,2013-12,2013-12-01,81.1,85.7,,-0.24600246002460802,0.11682242990656011,-0.3628248899311681
ene-14,2014-01,2014-01-01,82.5,86.8,,1.7262638717632672,1.2835472578763163,0.44271661388695094
feb-14,2014-02,2014-02-01,82.8,87.4,,0.363636363636366,0.691244239631339,-0.327607875994973
mar-14,2014-03,2014-03-01,83.8,87.9,10.0,1.2077294685990392,0.5720823798627039,0.6356470887363352
abr-14,2014-04,2014-04-01,84.4,88.3,,0.7159904534606243,0.4550625711035261,0.2609278823570982
may-14,2014-05,2014-05-01,84.6,88.5,,0.23696682464453556,0.22650056625141968,0.01046625839311588
jun-14,2014-06,2014-06-01,83.9,88.4,,-0.8274231678486843,-0.1129943502824804,-0.7144288175662039
jul-14,2014-07,2014-07-01,83.1,88.1,,-0.953516090584039,-0.33936651583711397,-0.614149574746925
ago-14,2014-08,2014-08-01,82.0,87.8,,-1.3237063778579916,-0.34052213393870323,-0.9831842439192884
sept-14,2014-09,2014-09-01,81.4,87.8,,-0.7317073170731603,0.0,-0.7317073170731603
oct-14,2014-10,2014-10-01,81.3,88.0,,-0.12285012285013774,0.2277904328018332,-0.35064055565197094
nov-14,2014-11,2014-11-01,82.7,88.7,,1.7220172201722006,0.7954545454545547,0.9265626747176459
dic-14,2014-12,2014-12-01,84.5,89.3,,2.1765417170495738,0.6764374295377573,1.5001042875118165
ene-15,2015-01,2015-01-01,85.8,89.8,,1.538461538461533,0.5599104143336975,0.9785511241278355
feb-15,2015-02,2015-02-01,87.2,90.3,,1.631701631701632,0.556792873051215,1.074908758650417
mar-15,2015-03,2015-03-01,86.3,90.2,,-1.0321100917431214,-0.11074197120708451,-0.9213681205360369
abr-15,2015-04,2015-04-01,85.3,90.1,,-1.1587485515643148,-0.11086474501109667,-1.0478838065532181
may-15,2015-05,2015-05-01,88.3,91.4,,3.5169988276670505,1.4428412874583962,2.0741575402086543
jun-15,2015-06,2015-06-01,85.6,90.6,,-3.05775764439411,-0.875273522975939,-2.182484121418171
jul-15,2015-07,2015-07-01,86.9,91.3,,1.5186915887850594,0.7726269315673218,0.7460646572177376
ago-15,2015-08,2015-08-01,85.7,91.2,,-1.3808975834292303,-0.10952902519166807,-1.2713685582375622
sept-15,2015-09,2015-09-01,84.4,91.1,,-1.516919486581092,-0.10964912280703176,-1.4072703637740602
oct-15,2015-10,2015-10-01,82.7,90.8,,-2.0142180094786744,-0.3293084522502765,-1.6849095572283979
nov-15,2015-11,2015-11-01,83.3,91.2,,0.7255139056831839,0.4405286343612369,0.28498527132194695
dic-15,2015-12,2015-12-01,84.9,92.1,,1.9207683073229287,0.9868421052631415,0.9339262020597872
ene-16,2016-01,2016-01-01,91.3,94.5,,7.538280329799751,2.6058631921824116,4.93241713761734
